20.5406 	EXP 	TextStim: opacity = None
20.5406 	EXP 	TextStim: contrast = None
20.5406 	EXP 	TextStim: autoDraw = None
20.9573 	EXP 	TextStim: autoDraw = None
20.9739 	EXP 	TextStim: autoDraw = None
21.3845 	DATA 	Keypress: z
21.4071 	EXP 	TextStim: autoDraw = None
21.4071 	EXP 	TextStim: autoDraw = None
21.4071 	EXP 	TextStim: autoDraw = None
21.4071 	EXP 	ImageStim: autoDraw = None
21.4071 	EXP 	TextStim: autoDraw = None
22.4238 	EXP 	TextStim: autoLog = None
22.4238 	EXP 	TextStim: units = None
22.4238 	EXP 	TextStim: useShaders = None
22.4238 	EXP 	TextStim: depth = None
22.4238 	EXP 	TextStim: ori = None
22.4238 	EXP 	TextStim: pos = None
22.4238 	EXP 	TextStim: colorSpace = None
22.4238 	EXP 	TextStim: opacity = None
22.4238 	EXP 	TextStim: contrast = None
22.4238 	EXP 	TextStim: autoDraw = None
22.8406 	EXP 	TextStim: autoDraw = None
22.8572 	EXP 	TextStim: autoDraw = None
23.2245 	DATA 	Keypress: z
23.2406 	EXP 	TextStim: autoDraw = None
23.2406 	EXP 	TextStim: autoDraw = None
23.2406 	EXP 	TextStim: autoDraw = None
23.2406 	EXP 	ImageStim: autoDraw = None
23.2406 	EXP 	TextStim: autoDraw = None
24.2572 	EXP 	TextStim: autoLog = None
24.2572 	EXP 	TextStim: units = None
24.2572 	EXP 	TextStim: useShaders = None
24.2572 	EXP 	TextStim: depth = None
24.2572 	EXP 	TextStim: ori = None
24.2572 	EXP 	TextStim: pos = None
24.2572 	EXP 	TextStim: colorSpace = None
24.2572 	EXP 	TextStim: opacity = None
24.2572 	EXP 	TextStim: contrast = None
24.2572 	EXP 	TextStim: autoDraw = None
24.6738 	EXP 	TextStim: autoDraw = None
24.6905 	EXP 	TextStim: autoDraw = None
25.0165 	DATA 	Keypress: z
25.0404 	EXP 	TextStim: autoDraw = None
25.0404 	EXP 	TextStim: autoDraw = None
25.0404 	EXP 	TextStim: autoDraw = None
25.0404 	EXP 	ImageStim: autoDraw = None
25.0404 	EXP 	TextStim: autoDraw = None
26.0571 	EXP 	TextStim: autoLog = None
26.0571 	EXP 	TextStim: units = None
26.0571 	EXP 	TextStim: useShaders = None
26.0571 	EXP 	TextStim: depth = None
26.0571 	EXP 	TextStim: ori = None
26.0571 	EXP 	TextStim: pos = None
26.0571 	EXP 	TextStim: colorSpace = None
26.0571 	EXP 	TextStim: opacity = None
26.0571 	EXP 	TextStim: contrast = None
26.0571 	EXP 	TextStim: autoDraw = None
26.4738 	EXP 	TextStim: autoDraw = None
26.4904 	EXP 	TextStim: autoDraw = None
26.7925 	DATA 	Keypress: z
26.8070 	EXP 	TextStim: autoDraw = None
26.8070 	EXP 	TextStim: autoDraw = None
26.8070 	EXP 	TextStim: autoDraw = None
26.8070 	EXP 	ImageStim: autoDraw = None
26.8070 	EXP 	TextStim: autoDraw = None
27.8237 	EXP 	TextStim: autoLog = None
27.8237 	EXP 	TextStim: units = None
27.8237 	EXP 	TextStim: useShaders = None
27.8237 	EXP 	TextStim: depth = None
27.8237 	EXP 	TextStim: ori = None
27.8237 	EXP 	TextStim: pos = None
27.8237 	EXP 	TextStim: colorSpace = None
27.8237 	EXP 	TextStim: opacity = None
27.8237 	EXP 	TextStim: contrast = None
27.8237 	EXP 	TextStim: autoDraw = None
28.2404 	EXP 	TextStim: autoDraw = None
28.2571 	EXP 	TextStim: autoDraw = None
28.5525 	DATA 	Keypress: z
28.5736 	EXP 	TextStim: autoDraw = None
28.5736 	EXP 	TextStim: autoDraw = None
28.5736 	EXP 	TextStim: autoDraw = None
28.5736 	EXP 	ImageStim: autoDraw = None
28.5736 	EXP 	TextStim: autoDraw = None
29.5903 	EXP 	TextStim: autoLog = None
29.5903 	EXP 	TextStim: units = None
29.5903 	EXP 	TextStim: useShaders = None
29.5903 	EXP 	TextStim: depth = None
29.5903 	EXP 	TextStim: ori = None
29.5903 	EXP 	TextStim: pos = None
29.5903 	EXP 	TextStim: colorSpace = None
29.5903 	EXP 	TextStim: opacity = None
